stk1,stk2,flag,a,b
600590,600106,1,0.28947732615778715,0.6509338813602588
600590,603989,0,-0.27997681542446246,1.8285369641469569
600590,2431,0,-0.326265223036341,0.8112489780794506
600590,906,0,-0.21247333398847126,1.390511991799537
600590,601636,0,-0.37911508790450055,0.2850254516806957
600590,603300,0,2.9859158904481666,0.5231907474807616
600590,2597,1,-0.3322398698352602,0.7131619878011288
600590,877,1,-0.3302817618069659,0.7138261079747789
600590,600569,1,-0.3784173256866781,0.29153120644246283
600106,603989,1,-0.06103791046811025,3.4683041763423734
600106,2431,0,-0.08990752255149786,1.0835217684369103
600106,906,0,0.22521774828395763,1.7401209997541474
600106,601636,0,-0.2743910389310316,0.4373691402784138
600106,603300,0,-0.27553457538499754,1.3705941364228726
600106,2597,1,-0.12542293814244465,1.0870228872074603
600106,877,0,-0.11470516282740159,1.1515699889183848
600106,600569,1,-0.3010999288252535,0.4064143138579131
603989,2431,0,-0.40103684455333943,0.3169062005969906
603989,906,0,-0.39069154947226065,0.5426053561560424
603989,601636,0,-0.40405468607712597,0.23594412974346637
603989,603300,0,-0.39383602271178236,0.4680987794687116
603989,2597,0,-0.3961685156212824,0.41611313729809796
603989,877,0,-0.3984194582942412,0.365313317903088
603989,600569,1,-0.40749630474739973,0.15537095544483984
2431,906,0,-0.15984947125995153,1.889697394280898
2431,601636,0,-0.3522799110087639,0.46839442066062026
2431,603300,0,-0.28658602799700894,1.1416652812240962
2431,2597,0,-0.2729370942217335,1.120398452602171
2431,877,1,-0.27850477980385907,1.103506985844787
2431,600569,0,-0.358954945551171,0.4229612546773177
906,601636,0,-0.3835483224969666,0.40213250165840186
906,603300,0,-0.34228561129237545,0.8054541458350525
906,2597,0,-0.36360738453843927,0.7161681403522092
906,877,0,-0.3660935354615748,0.6641173703331549
906,600569,0,-0.39197466147030635,0.29265748816003506
601636,603300,0,0.11864696745030288,2.1510052562479594
601636,2597,0,0.09847870707889451,1.5813363512588439
601636,877,0,0.15518650528686137,1.7413924608270566
601636,600569,0,-0.12218108369578977,0.9451593576324544
603300,2597,0,-0.3205792540931075,1.0170142437809981
603300,877,0,-0.3376309946610957,0.7965291671558513
603300,600569,0,-0.3823246543301999,0.32871114464772927
2597,877,0,-0.27552087136677744,0.9669578394603844
2597,600569,1,-0.35191599825614384,0.41875175261737035
877,600569,1,-0.35971220458328423,0.41691988929761675
